supplier_id,name,contact_email,phone
1,Alpha Supplies,contact@alphasupplies.com,123-456-7890
2,Beta Traders,info@betatraders.com,234-567-8901
3,Gamma Corp,support@gammacorp.com,345-678-9012
4,Delta Distributors,sales@deltadistributors.com,456-789-0123
5,Epsilon Exporters,export@epsilon.com,567-890-1234
6,Zeta Logistics,zeta@logistics.com,678-901-2345
7,Eta Goods,eta@goods.com,789-012-3456
8,Theta Manufacturing,theta@mfg.com,890-123-4567
9,Iota Wholesale,iota@wholesale.com,901-234-5678
10,Kappa Supply Co.,kappa@supplyco.com,012-345-6789
